"jd","star_name","band","validation_flag","magnitude"
2456926.457,"AK AND","TG","Z",14.14
2456927.454,"AK AND","TG","Z",14.19
2456927.6515,"AK AND","V","Z",14.76
2456928.451,"AK AND","TG","Z",14.1
2456957.373,"AK AND","TG","Z",15.2
2456958.369,"AK AND","TG","Z",15.13
2456962.357,"AK AND","TG","Z",15.31
2456990.295,"AK AND","TG","Z",15.96
2456998.267,"AK AND","TG","Z",16.27
2457005.259,"AK AND","TG","Z",15.76
2457020.23,"AK AND","TG","Z",15.96
2457023.223,"AK AND","TG","Z",15.53
2457219.653,"AK AND","TG","Z",13.42
2457236.612,"AK AND","TG","Z",14.44
2457250.569,"AK AND","TG","Z",14.19
2457256.552,"AK AND","TG","Z",14.21
2457267.522,"AK AND","TG","Z",14.52
2457272.508,"AK AND","TG","Z",14.73
2457274.503,"AK AND","TG","Z",14.73
2457275.5,"AK AND","TG","Z",14.83
2457292.452,"AK AND","TG","Z",15.07
2457294.447,"AK AND","TG","Z",15.33
2457295.445,"AK AND","TG","Z",15.27
2457296.442,"AK AND","TG","Z",15.18
2457308.409,"AK AND","TG","Z",15.21
2457308.59284,"AK AND","R","Z",13.33
2457308.59311,"AK AND","V","Z",15.758
2457308.59516,"AK AND","I","Z",10.885
2457314.393,"AK AND","TG","Z",15.44
2457321.374,"AK AND","TG","Z",15.31
2457327.357,"AK AND","TG","Z",15.15
2457328.354,"AK AND","TG","Z",15.19
2457336.6578,"AK AND","V","Z",15.52
2457343.6179,"AK AND","V","Z",15.16
2457361.288,"AK AND","TG","Z",13.42
2457365.278,"AK AND","TG","Z",13.45
2457521.91324,"AK AND","V","Z",12.83
2457521.91707,"AK AND","R","Z",10.689
2457521.91851,"AK AND","I","Z",8.613
2457544.8777,"AK AND","V","Z",13.738
2457544.88154,"AK AND","R","Z",11.482
2457544.88334,"AK AND","I","Z",9.18
2457587.646,"AK AND","TG","Z",14.63
2457588.644,"AK AND","TG","Z",14.82
2457593.63,"AK AND","TG","Z",14.88
2457607.593,"AK AND","TG","Z",15.22
2457613.574,"AK AND","TG","Z",15.95
2457617.57,"AK AND","TG","Z",15.77
2457624.545,"AK AND","TG","Z",15.67
2457630.528,"AK AND","TG","Z",15.98
2457631.525,"AK AND","TG","Z",15.8
2457638.506,"AK AND","TG","Z",15.72
2457640.5,"AK AND","TG","Z",16.65
2457644.6728,"AK AND","V","Z",16.72
2457651.7611,"AK AND","V","Z",16.77
2457655.46,"AK AND","TG","Z",15.81
2457666.6776,"AK AND","V","Z",16.45
2457668.423,"AK AND","TG","Z",15.74
2457672.6668,"AK AND","V","Z",15.94
2457687.374,"AK AND","TG","Z",15.22
2457721.284,"AK AND","TG","Z",12.22
2457722.299,"AK AND","TG","Z",12.2
2457723.276,"AK AND","TG","Z",11.95
2457751.228,"AK AND","TG","Z",10.65
2457752.226,"AK AND","TG","Z",10.65
2457767.5039,"AK AND","V","Z",10.67
2457849.9927,"AK AND","V","Z",13.123
2457849.99568,"AK AND","R","Z",10.928
2457849.99691,"AK AND","I","Z",8.903
2457866.96543,"AK AND","V","Z",13.716
2457866.96925,"AK AND","R","Z",11.434
2457866.9706,"AK AND","I","Z",9.213
2457904.92938,"AK AND","V","Z",14.927
2457904.93436,"AK AND","R","Z",12.614
2457904.93638,"AK AND","I","Z",10.204
2457917.8927,"AK AND","V","Z",15.322
2457917.89826,"AK AND","R","Z",12.966
2457917.90058,"AK AND","I","Z",10.556
2457932.87114,"AK AND","V","Z",15.749
2457932.87664,"AK AND","R","Z",13.339
2457932.87925,"AK AND","I","Z",10.908
2457955.85414,"AK AND","V","Z",16.22
2457955.85954,"AK AND","R","Z",13.706
2457955.86166,"AK AND","I","Z",11.171
2457984.56,"AK AND","TG","Z",15.34
2457984.79663,"AK AND","V","Z",15.612
2457984.80056,"AK AND","R","Z",13.172
2457984.80181,"AK AND","I","Z",10.702
2457995.78669,"AK AND","V","Z",14.994
2457995.78981,"AK AND","R","Z",12.633
2457995.7908,"AK AND","I","Z",10.275
2458006.82607,"AK AND","V","Z",14.248
2458006.82841,"AK AND","R","Z",12.052
2458006.82927,"AK AND","I","Z",9.851
2458018.74611,"AK AND","V","Z",13.517
2458018.74786,"AK AND","R","Z",11.476
2458018.74859,"AK AND","I","Z",9.454
2458019.463,"AK AND","TG","Z",13.3
2458029.78348,"AK AND","V","Z",12.72
2458029.78479,"AK AND","R","Z",10.807
2458029.78546,"AK AND","I","Z",8.958
2458033.426,"AK AND","TG","Z",12.24
2458038.60277,"AK AND","V","Z",11.913
2458038.60375,"AK AND","R","Z",10.154
2458038.60436,"AK AND","I","Z",8.518
2458040.405,"AK AND","TG","Z",11.97
2458041.403,"AK AND","TG","Z",11.75
2458049.64116,"AK AND","V","Z",11.156
2458049.64205,"AK AND","R","Z",9.56
2458049.64263,"AK AND","I","Z",8.014
2458057.36,"AK AND","TG","Z",10.86
2458060.78084,"AK AND","V","Z",10.694
2458060.78164,"AK AND","R","Z",9.264
2458060.78241,"AK AND","I","Z",7.819
2458073.316,"AK AND","TG","Z",10.49
2458073.74341,"AK AND","V","Z",10.456
2458073.74428,"AK AND","R","Z",9.11
2458073.74519,"AK AND","I","Z",7.886
2458082.6549,"AK AND","V","Z",10.409
2458082.65579,"AK AND","R","Z",9.113
2458082.6567,"AK AND","I","Z",7.828
2458093.7429,"AK AND","V","Z",10.619
2458093.74408,"AK AND","R","Z",9.127
2458093.74488,"AK AND","I","Z",7.739
2458101.64542,"AK AND","V","Z",10.788
2458101.64619,"AK AND","R","Z",9.304
2458101.64697,"AK AND","I","Z",7.863
2458106.249,"AK AND","TG","Z",11
2458114.68666,"AK AND","V","Z",11.179
2458114.68758,"AK AND","R","Z",9.579
2458114.68819,"AK AND","I","Z",7.965
2458123.59421,"AK AND","V","Z",11.464
2458123.59517,"AK AND","R","Z",9.75
2458123.59579,"AK AND","I","Z",8.143
2458132.65455,"AK AND","V","Z",11.868
2458132.65569,"AK AND","R","Z",9.971
2458132.65637,"AK AND","I","Z",8.228
2458157.58528,"AK AND","V","Z",12.876
2458157.58715,"AK AND","R","Z",10.696
2458157.58795,"AK AND","I","Z",8.658
2458172.56856,"AK AND","V","Z",13.401
2458172.57115,"AK AND","R","Z",11.224
2458172.57211,"AK AND","I","Z",9.129
2458218.98067,"AK AND","V","Z",14.839
2458218.98524,"AK AND","R","Z",12.522
2458218.98703,"AK AND","I","Z",10.272
2458227.97065,"AK AND","V","Z",15.099
2458227.97556,"AK AND","R","Z",12.768
2458227.97766,"AK AND","I","Z",10.461
2458234.95139,"AK AND","V","Z",15.413
2458234.95649,"AK AND","R","Z",12.975
2458234.95874,"AK AND","I","Z",10.611
2458243.93616,"AK AND","V","Z",15.633
2458243.94143,"AK AND","R","Z",13.211
2458243.94395,"AK AND","I","Z",10.84
2458257.89099,"AK AND","V","Z",16.016
2458257.89652,"AK AND","R","Z",13.546
2458257.89927,"AK AND","I","Z",11.134
2458266.92076,"AK AND","V","Z",16.227
